Series	Contract No.	BuySell	Contract	Price	Premium Amount	Brokerage Fee	VAT	WH	Charge Amount   Date  
S50M19P1075	BU-00505	B	5	21.00	-21,000.00	175.50	12.29	0.00	187.79
S50M19P1075	BU-00506	B	5	21.00	-21,000.00	175.50	12.26	0.00	187.76  22022019
S50M19P1075	SE-00368	S	5	14.30	14,300.00	175.50	12.29	0.00	187.79
S50M19P1075	SE-00369	S	1	14.30	2,860.00	35.10	2.46	0.00	37.56
S50M19P1075	SE-00370	S	3	14.30	8,580.00	105.30	7.37	0.00	112.67
S50M19P1075	SE-00371	S	1	14.30	2,860.00	35.10	2.43	0.00	37.53   25022019
S50M19P1075	SH-00696	S	4	30.00	24,000.00	140.40	9.83	0.00	150.23
S50M19P1075	SH-00697	S	1	30.00	6,000.00	35.10	2.46	0.00	37.56   06032019
S50M19C1075	SH-00695	S	4	30.00	24,000.00	140.40	9.83	0.00	150.23  07032019
S50M19P1075	BU-00534	B	1	26.00	-5,200.00	35.10	2.46	0.00	37.56
S50M19P1075	BH-00535	B	1	25.00	-5,000.00	35.10	2.46	0.00	37.56
S50M19P1075	BH-00536	B	4	25.00	-20,000.00	140.40	9.81	0.00	150.21  08032019
S50M19	SH-00385	S	20	1,083.50	0.00	342.00	23.94	0.00	365.94  14032019
S50M19	BH-00441	B	1	1,077.50	0.00	17.10	1.20	0.00	18.30
S50M19	BH-00442	B	9	1,077.50	0.00	153.90	10.78	0.00	164.68  15032019
S50M19	BH-00538	B	10	1,076.00	0.00	171.00	11.94	0.00	182.94  18032019
S50M19P1075	BU-00650	B	1	25.00	-5,000.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00651	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00652	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00653	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00654	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00655	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00656	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00657	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00658	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00659	B	1	41.50	-8,300.00	35.10	2.46	0.00	37.56
S50M19P1100	BU-00660	B	1	41.50	-8,300.00	35.10	2.42	0.00	37.52 19032019
S50M19P1075	BU-00415	B	1	24.00	-4,800.00	35.10	2.46	0.00	37.56 20032019
S50M19	BU-00556	B	1	1,087.00	0.00	17.10	1.20	0.00	18.30
S50M19	BU-00557	B	9	1,087.00	0.00	153.90	10.73	0.00	164.63
S50M19C1100	BU-00558	B	1	21.40	-4,280.00	35.10	2.46	0.00	37.56
S50M19C1100	BU-00559	B	9	21.40	-38,520.00	315.90	22.11	0.00	338.01
S50M19C1100	SE-00560	S	10	20.70	41,400.00	351.00	24.57	0.00	375.57  22032019
S50M19P1050	SH-00701	S	1	17.00	3,400.00	35.10	2.46	0.00	37.56 25032019
